profile_id,rank,influence,effect_size,band,ai_feasibility,human_irreducibility,substitution_risk,mechanism_conflict,vendor_activity,hypothetical_ai_effect,notes
P71,213,Teacher subject matter knowledge,0.11,Negligible,AI-RESISTANT,High,Low,No conflict,Low,d≈0.08 [HYPOTHESIS]: AI cannot substitute for teacher's integrated subject matter understanding,Teacher's pedagogical content knowledge — knowing how to teach a specific subject — requires human expertise development; AI cannot substitute.
P02,214,Diverse student body,0.10,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,N/A — structural demographic variable,Structural demographic variable; AI has no role in the causal mechanism.
P02,215,Background music,0.10,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.08 [HYPOTHESIS]: AI music selection is peripheral; effect size suggests minimal educational impact,Negligible effect size; AI music selection tools are a peripheral distraction from high-effect instructional investments.
P02,216,Diversity courses,0.09,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.07 [HYPOTHESIS]: AI can deliver diversity course content; human facilitation of genuine dialogue is primary,Diversity education requires human facilitation of genuine cross-cultural dialogue; AI content delivery is peripheral.
P02,217,Charter schools,0.09,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,N/A — structural institutional variable,Institutional structure variable; AI has no role in the causal mechanism.
P02,218,Modifying school calendars/timetables,0.09,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.05 [HYPOTHESIS]: AI scheduling optimization is peripheral; effect size suggests minimal educational impact,Negligible effect size; AI timetabling tools are administrative efficiencies with minimal educational impact.
P02,219,Detracking,0.09,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.07 [HYPOTHESIS]: AI can support flexible grouping; structural detracking is a policy decision,Structural policy decision; AI flexible grouping tools support implementation but do not drive the educational mechanism.
P02,220,Gender on achievement,0.08,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,N/A — demographic variable,Demographic variable; AI has no role in the causal mechanism.
P02,221,Perceptual-motor programs,0.08,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.05 [HYPOTHESIS]: Physical motor skill development requires embodied practice,Embodied physical movement is the mechanism; AI has no meaningful role.
P02,222,Single-sex schools,0.08,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,N/A — structural institutional variable,Institutional structure variable; AI has no role in the causal mechanism.
P02,223,Middle schools' interventions,0.08,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.05 [HYPOTHESIS]: AI can support middle school transition logistics; relational support is primary,Middle school transition support depends on human relational continuity and advising; AI logistics tools are peripheral.
P72,224,Mastery goals,0.06,Negligible,AI-AUGMENTED,Medium,High,Partial conflict,Low,d≈0.05 [HYPOTHESIS]: AI goal-tracking is peripheral; negligible effect size limits claim strength,Effect size at negligible band; AI mastery goal tracking is a peripheral support that does not warrant significant investment.
P02,225,Whole language approach,0.06,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.04 [HYPOTHESIS]: AI whole language tools are peripheral; negligible effect size below phonics instruction,Negligible effect size compared to phonics instruction (0.70); AI whole language tools should not be prioritized over phonics-based interventions.
P02,226,College halls of residence,0.05,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,N/A — institutional context variable,Living context variable; AI has no meaningful role in the educational mechanism.
P19,227,Teacher performance pay,0.05,Negligible,AI-ADJACENT,High,Low,No conflict,Low,N/A — structural incentive policy variable,Performance pay is a structural policy variable with negligible effect size; AI measurement tools do not address the underlying motivation mechanism.
P02,228,Breastfeeding,0.04,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,N/A — biological/health variable,Biological variable entirely outside educational AI scope.
P02,229,Multi-grade/age classes,0.04,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.03 [HYPOTHESIS]: AI content differentiation is peripheral; negligible effect size limits claim strength,Negligible effect size; multi-grade AI differentiation tools should not be prioritized over high-effect instructional investments.
P02,230,Humor,0.04,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.02 [HYPOTHESIS]: AI humor generation is peripheral; genuine teacher humor is human and contextual,Teacher humor is relational and contextually embedded; AI-generated humor is artificial and pedagogically irrelevant at this effect size.
P19,231,Parental employment,0.03,Negligible,AI-ADJACENT,High,Low,No conflict,Low,N/A — family economic variable,Background variable; AI has no role in the causal mechanism.
P73,232,Student control over learning,0.02,Negligible,AI-ADJACENT,Low,Low,Partial conflict,Low,d≈0.01 [HYPOTHESIS]: AI personalization increases student control; negligible effect size suggests control alone is insufficient,Negligible effect size; student autonomy in learning is important pedagogically but effect size suggests it does not drive achievement gains alone.
P02,233,Non-immigrant background,0.01,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,N/A — demographic variable,Background demographic variable; AI has no role.
P19,234,Open vs. traditional classrooms,0.01,Negligible,AI-ADJACENT,High,Low,No conflict,Low,N/A — structural environmental variable,Physical classroom structure variable; AI has no role in the causal mechanism.
P38,235,Technology in distance education,0.01,Negligible,AI-NATIVE,Low,High,No conflict,Low,d≈0.01 [HYPOTHESIS]: AI dramatically improves distance education delivery; 0.01 baseline is the honest warning about distance education itself,AI is the natural delivery medium for distance education; 0.01 effect size is a systemic warning that distance education modality itself limits achievement regardless of technology quality.
P41,236,Performance goals,-0.01,Harmful,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈-0.01 [HYPOTHESIS]: AI performance goal scaffolding does not resolve the underlying harm of performance goal orientation,"Performance goals (ego-oriented, not mastery-oriented) harm achievement; AI scaffolding of performance goals perpetuates the harm."
P08,237,Summer vacation effect,-0.02,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,d≈-0.02 [HYPOTHESIS]: AI summer learning tools partially mitigate summer learning loss; structural calendar is the primary variable,Summer learning loss is a structural calendar variable; AI summer learning platforms partially offset loss but do not address root cause.
P08,238,Lack of sleep,-0.05,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,N/A — biological health variable,Sleep is a biological variable; AI sleep tracking is peripheral to the educational mechanism.
P74,239,Surface motivation and approach,-0.11,Harmful,AI-ADJACENT,Low,Low,Conflict present,Low,d≈-0.15 [HYPOTHESIS]: AI gamification risks increasing surface motivation orientation,"Mechanism conflict: AI gamification systems risk reinforcing surface (extrinsic reward) motivation orientation, potentially deepening the harm."
P39,240,Family on welfare/state aid,-0.12,Harmful,AI-ADJACENT,High,Low,No conflict,Low,N/A — socioeconomic barrier variable,Socioeconomic barrier; AI has no role in the causal mechanism. Structural poverty requires structural intervention.
P39,241,Parental military deployment,-0.16,Harmful,AI-ADJACENT,High,Low,No conflict,Low,N/A — family disruption variable,Family disruption variable; AI has no meaningful role in addressing the underlying harm.
P08,242,Television,-0.18,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,d≈-0.20 [HYPOTHESIS]: AI screen-time monitoring is peripheral; enforcement requires human authority,Screen time harm is mediated by displacement of learning time and sleep; AI monitoring tools require human authority for enforcement.
P75,243,Students feeling disliked,-0.19,Harmful,AI-RESISTANT,High,Low,Conflict present,Low,d≈-0.25 [HYPOTHESIS]: AI social interaction tools deepen isolation risk,Students feeling disliked requires human relational repair; AI chatbot substitution for human social connection risks deepening the harm.
P40,244,Suspension/expelling students,-0.20,Harmful,AI-RESISTANT,High,Low,No conflict,Low,d≈-0.20 [HYPOTHESIS]: Suspension harm requires human restorative relationship repair,Exclusionary discipline has documented harm; restorative alternatives require human relational judgment and community repair processes.
P76,245,Non-standard dialect use,-0.29,Harmful,AI-ADJACENT,Low,Low,Partial conflict,Low,d≈-0.15 [HYPOTHESIS]: AI dialect-insensitive feedback tools may perpetuate the harm,AI language feedback tools trained on standard dialect corpora risk perpetuating linguistic discrimination; requires careful auditing for dialect bias.
P08,246,Retention (holding students back),-0.32,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,d≈-0.32 [HYPOTHESIS]: AI data can surface retention decisions; the harm of retention remains regardless of data quality,"Retention harms achievement; AI predictive analytics identifying retention candidates should prompt targeted intervention, not retention decisions."
P40,247,Corporal punishment in the home,-0.33,Harmful,AI-RESISTANT,High,Low,No conflict,Low,N/A — child welfare variable requiring human intervention,Child welfare variable requiring human institutional and legal intervention; AI has no role in the causal mechanism.
P08,248,Moving between schools,-0.34,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,d≈-0.20 [HYPOTHESIS]: AI transition support tools partially mitigate school mobility harm; relational continuity is primary,School mobility harm is primarily relational disruption; AI transition scaffolding tools partially mitigate logistics but do not restore relational continuity.
P08,249,Depression,-0.36,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,N/A — clinical mental health variable requiring human therapeutic intervention,Clinical depression requires human therapeutic intervention; AI mental health tools are peripheral supports only.
P77,250,Boredom,-0.49,Harmful,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈-0.20 [HYPOTHESIS]: AI adaptive engagement reduces boredom risk; surface gamification may mask deeper disengagement,AI adaptive difficulty can reduce boredom from under-challenge; mechanism conflict risk if gamification substitutes for genuine intellectual challenge.
P41,251,Deafness,-0.61,Harmful,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈-0.30 [HYPOTHESIS]: AI assistive technology for deaf students is a legitimate and important augmentation,"AI captioning, sign language tools, and assistive technology are a genuinely important augmentation; specialist human deaf education remains essential."
P78,252,ADHD,-0.90,Harmful,AI-AUGMENTED,High,Low,No conflict,Low,d≈-0.60 [HYPOTHESIS]: AI scaffolding and interface adaptation help; cannot alter the neurobiology of ADHD,"AI interface simplification and pacing tools are legitimate supports; cannot address the neurobiological basis of ADHD. The negative effect size reflects ADHD's impact on achievement, not an intervention effect."
